name,description,image,link,type,playlistId
Radio Off,,radio-off.png,,v
MOTOMAMI,ROSALÍA & Arca,motomami.svg,xNjHCRa-pFk,v
WorldWide FM,Gilles Peterson,worldwide-fm.png,HfZypOdkujU,v
FlyLo FM,Flying Lotus,fly-lo-fm.png,YAzCJINGWGM,v
The Lowdown 91.1,Pam Grier,the-lowdown.webp,oaNdiTLKlMA,v
The Lab 94.5 FM,The Alchemist and Oh No,the-lab.webp,4J6JK7ich6E,v
Radio Mirror Park 88.9 FM,Twin Shadow,radio-mirror-park.webp,AA3WjWD_hyM,v
K.U.L.T 99.1 FM,Julian Casablancas of The Strokes and The Voidz,kult-fm.webp,FY9EiOllRhE,v
Space 103.2,Bootsy Collins,space.png,lCZc9y9KpY4,v
Vinewood Boulevard Radio,Nate Williams & Stephen Pope,vinewood-boulevard-radio.webp,y-Faj25nOhM,v
Blonded Radio 97.8 FM,Frank Ocean,blonded-los-santos.webp,5lkHo8thw0I,v
Los Santos Underground Radio,Solomun & Dixon & Tale of Us & The Black Madonna,los-santos-underground-radio.png,m8HlukW1auQ,v
iFruit Radio,Danny Brown,ifruit-radio.webp,d0hKoOw0Wuw,v
Los Santos Rock Radio 102.3 FM,Kenny Loggins,los-santos-rock-radio.png,dQsWBeMuOeU,v
Non-Stop-Pop 100.7 FM,Cara Delevingne,non-stop-pop-fm.png,,p,PLv2IGBk7nw2N7ibp1azSzGAAHYRncfaFN
Radio Los Santos 106.1 FM,Big Boy,radio-los-santos.png,qQ3qwBRgrMU,v
Channel X 99.1 FM,Keith Morris,channel-x.png,tmQqUh0xark,v
West Coast Talk Radio 95.6 FM,Various Hosts,wctr.webp,IhCFJnaYvnI,v
Rebel Radio 101.9 FM,Jesco White,rebel-radio.webp,N12WWl_f3QM,v
Blaine County Radio 96.5 FM,Various Hosts,blaine-county-talk-radio.png,qAmAnyTdXog,v
Blue Ark,Lee "Scratch" Perry,the-blue-ark.webp,osmrXqRuwJA,v
East Los FM 106.2 FM,DJ Camilo & Don Cheto,east-los-fm.png,iX2liYJZuJU,v
GTA V Radio Commercials,,gta_v.png,2QF_sZa-qk0,v
Soulwax FM,Soulwax,soulwax-fm.webp,sFwcLC5HC9I,v
West Coast Classics 95.6 FM,DJ Pooh,west-coast-classics.webp,wnmg6CfHQ18,v
